q_type,query,answer
日常饮食,外卖怎么吃才健康？,选择时注意荤素搭配，要求少油少盐，多选蒸煮类菜品，少选油炸类。
日常饮食,夏天没胃口怎么办？,可以少食多餐，选择清淡易消化的食物，适当喝些粥汤类。
日常饮食,冬天适合吃什么？,可以适量吃些温补食物如羊肉、核桃、韭菜等。
日常饮食,哪些食物对皮肤好？,富含维生素C的水果蔬菜、富含omega-3的鱼类、坚果等都有助于皮肤健康。
日常饮食,吃辣对身体好不好？,适量吃辣有助促进血液循环，但过量会刺激肠胃，有胃病的人应少吃。
日常饮食,咖啡每天喝多少合适？,建议每天不超过2~3杯，睡前6小时避免饮用以免影响睡眠。
日常饮食,喝茶有什么讲究？,绿茶富含抗氧化物质，但空腹不宜喝浓茶，睡前也不宜喝茶。
日常饮食,吃火锅怎么更健康？,多选蔬菜、豆腐、菌菇类，少选加工肉制品，汤底尽量清淡。
日常饮食,烧烤可以吃吗？,可以偶尔吃，但不宜频繁。烧烤食物含有致癌物质，且高油高盐。
日常饮食,怎么判断自己喝水够不够？,观察尿液颜色，浅黄色表示水分充足，深黄色提示需要补水。
日常饮食,吃饭顺序有讲究吗？,建议先喝汤、再吃蔬菜、然后吃蛋白质、最后吃主食，有助于控制食量和血糖。
日常饮食,如何减少食物中的农药残留？,可采用浸泡水洗法或去皮法，先用清水洗掉表面污染物，然后用清水浸泡不少于10分钟。
日常饮食,什么是“轻断食”？,每周选择不连续的2天，女性单日摄入500大卡、男性600大卡，其余5天正常饮食。
日常饮食,代餐可以代替正餐吗？,不建议长期用代餐代替正餐，无法满足全面的营养需求。
日常饮食,吃早饭的最佳时间是什么？,建议在早上7~8点之间进食，与人体生物钟相协调。
日常饮食,睡前可以吃东西吗？,睡前2~3小时内最好不要再进食，以免影响睡眠质量和消化。
日常饮食,哪些食物富含维生素D？,深海鱼类、蛋黄、动物肝脏等，最好的来源是晒太阳。
日常饮食,喝粥养胃是真的吗？,对胃不好的人有一定帮助，但长期只喝粥会导致营养不均衡。
日常饮食,发酵食品有什么好处？,酸奶、泡菜等发酵食品含益生菌，有助肠道健康。
日常饮食,怎么吃才能补气血？,保证优质蛋白和铁的摄入，如红肉、动物肝脏、菠菜等，同时注意主食不能少。
日常饮食,每天吃鸡蛋会升高胆固醇吗？,对大多数人来说，每天吃1~2个鸡蛋是安全的，不会显著影响血胆固醇。
日常饮食,什么样的饮食结构最合理？,食物多样、植物性食物为主，保证基本的蛋白质摄入。蔬菜占比70%、荤菜30%。
日常饮食,为什么说“早饭吃好，午饭吃饱，晚饭吃少”？,符合人体代谢节律，早上需要能量启动一天，晚上代谢减慢宜少吃。
日常饮食,如何做到控糖？,少喝含糖饮料，少吃甜点和加工食品，选择天然水果代替甜食。
日常饮食,健康饮食的核心原则是什么？,均衡多样、适量适度、规律进食、少油少盐少糖。
运动健身,每周应该运动多久？,每周至少150分钟中等强度运动（如快走、游泳、骑自行车），每次30分钟以上。
运动健身,每天走多少步合适？,每天进行主动身体活动6000步，但不宜仅以步数为唯一标准。
运动健身,什么时间运动最好？,早晨5~7点大肠经当令，适度晨练有助于增强正气。但具体时间因人而异。
运动健身,运动前需要热身吗？,需要。每次运动应包括10~15分钟的准备活动和整理运动。
运动健身,力量训练和有氧运动怎么搭配？,每周安排2次全身性力量训练，在训练日之间穿插1~2次瑜伽、八段锦、慢跑或游泳，时长30~45分钟。
运动健身,饭后多久可以运动？,建议饭后休息半小时再运动，否则可能增加阑尾炎风险。
运动健身,久坐一族怎么“动起来”？,工作间隙起身拉伸，上下班提前一站下车步行，爬楼梯代替电梯。避免连续久坐超过1小时。
运动健身,运动出汗越多越好吗？,不是。适量出汗是正常的，但过度出汗可能导致脱水和电解质流失。
运动健身,什么强度算“中等强度运动”？,运动时心跳和呼吸加快，但仍能正常交谈的强度，如快走、慢骑自行车等。
运动健身,不运动的人怎么开始锻炼？,从每天快走20~30分钟开始，逐步增加时间和强度。
运动健身,运动后需要拉伸吗？,需要。运动后进行整理运动和拉伸，有助于肌肉恢复、减少酸痛。
运动健身,晚上运动影响睡眠吗？,睡前2~3小时内避免剧烈运动，否则可能影响入睡。
运动健身,运动可以减肥吗？,可以，但需要配合饮食控制。减重核心是制造温和热量缺口。
运动健身,每天30分钟运动够吗？,每天30分钟中等强度运动就能满足基本需求。
运动健身,冬天不想运动怎么办？,可以选择室内运动如瑜伽、健身操、跳绳等，或去健身房。
运动健身,运动时膝盖疼怎么办？,应立即停止运动，检查运动姿势是否正确，必要时咨询医生。可选择对膝盖友好的运动如游泳。
运动健身,撸铁会不会伤身体？,科学撸铁有益健康，但过量“撸铁”可能造成运动损伤。建议在专业指导下进行。
运动健身,瑜伽对身体有什么好处？,瑜伽有助于促进气血流通、身体恢复，还能缓解压力和焦虑。
运动健身,跑步和游泳哪个更好？,两者都很好。跑步方便易行，游泳对关节更友好，可以交替进行。
运动健身,运动多久能看到效果？,一般坚持4~8周可以看到明显变化，关键在于持之以恒。
运动健身,生理期可以运动吗？,可以适量进行温和运动如散步、瑜伽，避免剧烈运动和倒立动作。
运动健身,运动时喝水有讲究吗？,运动前、中、后都要适量补水，但不要一次喝太多，应少量多次。
运动健身,周末运动能补平时的缺吗？,不能完全替代。运动应保持规律，每周均匀分布比集中在周末更好。
运动健身,什么是“20-20-20护法则”？,每工作20分钟，看20英尺（约6米）外的物体20秒，缓解眼部疲劳。
运动健身,健身时肌肉酸痛正常吗？,延迟性肌肉酸痛是正常的，尤其在开始新运动或增加强度时，通常2~3天缓解。
运动健身,如何避免运动损伤？,充分热身、正确姿势、循序渐进、量力而行、运动后拉伸。
运动健身,每天做多少个俯卧撑合适？,根据个人能力而定，以标准姿势完成、不感到过度疲劳为准，可以从10个开始逐步增加。
运动健身,跳绳减肥效果好吗？,跳绳是高效的有氧运动，但要注意保护膝盖，选择合适的鞋子。
运动健身,运动后吃什么好？,运动后30分钟内补充优质蛋白和适量碳水，如鸡蛋、牛奶、香蕉等，有助肌肉修复。
运动健身,如何坚持运动？,选择自己喜欢的运动方式，设定小目标，找运动伙伴互相督促。
作息睡眠,每天应该睡多久？,18~64岁成年人每天通常需要7~9小时睡眠，保证每晚7~8小时睡眠。
作息睡眠,几点睡几点起最好？,建议晚上11点前入睡、早上6点起床。中医认为早晨5~7点是大肠经当令，是身体排泄的最佳时机。
作息睡眠,什么是“子午觉”？,子时（晚11点到凌晨1点）和午时（上午11点到下午1点）睡觉。睡好子午觉对健康极为重要。
作息睡眠,睡前玩手机有什么危害？,手机蓝光会影响褪黑素分泌，导致入睡困难、睡眠质量下降。建议睡前1小时远离电子设备。
作息睡眠,熬夜后怎么补救？,次日午睡控制在2030分钟以内，补充富含蛋白质和维生素的食物。从每天2030分钟和缓运动开始恢复。
作息睡眠,为什么越想睡越睡不着？,越想睡着反而越睡不着。睡前思虑过度会让大脑处于“过度觉醒”状态。建议睡前做放松的事情，如读书、听舒缓音乐。
作息睡眠,午休多久合适？,午休最好不超过半小时。午时小憩即可，避免趴在桌上睡觉，应尽量平躺。
作息睡眠,周末补觉有用吗？,周末可以适当补觉，但起床时间仅可比平时晚30分钟，不宜睡到中午。过度补觉反而打乱生物钟。
作息睡眠,失眠怎么办？,固定作息时间，睡前温水泡脚、保持环境昏暗安静，避免睡前饮用浓茶、咖啡或大量饮酒。
作息睡眠,睡前喝牛奶有助于睡眠吗？,有帮助。牛奶含有色氨酸，有安神助眠的作用。
作息睡眠,为什么熬夜后皮肤变差？,熬夜打乱生物钟，影响激素分泌，导致皮肤粗糙、暗沉。良好的睡眠才是皮肤变好的根本。
作息睡眠,经常熬夜会有什么后果？,会出现便秘、皮肤粗糙、心慌、心烦、注意力不集中等问题，抵抗力也会下降。
作息睡眠,如何快速入睡？,保持规律作息，睡前放松身心，避免剧烈运动和电子产品，可以尝试冥想或深呼吸。
作息睡眠,睡眠和免疫力有什么关系？,长期睡眠不足会打乱生物钟，影响激素分泌，导致免疫力下降。规律作息是免疫基石。
作息睡眠,夏天怎么睡得好？,保持卧室通风、温度适宜，避免空调温度过低，可以睡“子午觉”。
作息睡眠,冬天早上起不来怎么办？,晚上早睡是关键。可以设置渐进式闹钟，醒来后立即开灯或拉开窗帘。
作息睡眠,睡眠质量怎么判断？,看第二天精神状态——精神饱满说明睡眠质量好，困倦乏力说明睡眠不足或质量差。
作息睡眠,睡前可以运动吗？,睡前2~3小时不宜剧烈运动，但温和的拉伸、瑜伽有助于放松身心。
作息睡眠,长期上夜班怎么调整作息？,尽量固定睡眠时间，白天睡觉时保证卧室黑暗安静，模拟夜间环境。
作息睡眠,睡眠不好会影响情绪吗？,会。睡眠不足会导致情绪不稳定、焦虑、抑郁等问题。睡好觉是情绪稳定的基础。
作息睡眠,什么是“睡眠债”？,长期睡眠不足累积的“欠账”，会导致注意力下降、免疫力降低、代谢紊乱等。
作息睡眠,怎么判断自己睡够了？,醒来后精神焕发、白天不需咖啡提神、不感到困倦，说明睡眠充足。
作息睡眠,睡前喝茶或咖啡影响睡眠吗？,影响很大。咖啡因会干扰睡眠，睡前6小时应避免含咖啡因的饮品。
作息睡眠,睡眠和体重有关系吗？,有关系。睡眠不足会影响激素分泌，增加饥饿感，容易导致体重增加。
作息睡眠,碎片化睡眠算有效睡眠吗？,不算。睡眠的连续性和深度都很重要，碎片化睡眠无法达到充分休息的效果。
作息睡眠,做梦多说明睡眠不好吗？,不一定。人人都会做梦，但如果频繁噩梦或梦中惊醒，可能提示睡眠质量有问题。
作息睡眠,如何养成良好的作息习惯？,固定每日入睡和起床时间，即使周末也尽量保持一致。循序渐进，不要突然改变。
作息睡眠,睡懒觉对身体好吗？,不好。睡懒觉会打乱生物钟，反而让人更疲惫。
作息睡眠,睡前看手机多长时间合适？,最好完全不看。如果必须使用，开启护眼模式和夜间模式，且控制在15分钟内。
作息睡眠,睡眠环境有什么要求？,安静、黑暗、凉爽，床垫和枕头舒适，避免光线和噪音干扰。
中医调理,中医说的“体质”是什么意思？,体质是人体在先天遗传和后天获得基础上形成的相对稳定的状态，不同体质有不同的调理方法。
中医调理,什么是“气血不足”？,中医认为气血是人体生命活动的物质基础，气血不足表现为疲劳、面色苍白、头晕、手脚冰凉等。
中医调理,怎么补气血？,保证充足睡眠、均衡饮食（特别是主食不能少）、适度运动。可适当食用红枣、桂圆、山药等。
中医调理,湿气重有什么表现？,身体沉重、容易疲劳、大便黏腻、舌苔厚腻等。
中医调理,怎么祛湿？,少吃生冷食物，适量运动出汗，可以喝红豆薏米水，避免久坐潮湿环境。
中医调理,手脚冰凉怎么调理？,注意保暖，适度运动促进血液循环，可以泡脚、喝姜茶，冬天适量吃温补食物。
中医调理,什么是“肝气郁结”？,长期焦虑、抑郁导致肝的疏泄功能失常，会直接影响免疫功能。需要调节情绪、释放压力。
中医调理,为什么爱生气会伤肝？,中医认为怒伤肝，频繁发怒会导致肝气郁结。控制情绪稳定很重要。
中医调理,什么是“脾胃虚弱”？,消化功能减弱，表现为食欲不振、腹胀、大便稀溏等。需要规律饮食、少吃生冷。
中医调理,吃饭七分饱是中医的建议吗？,是的。中医认为“饮食有节”，七分饱能给脾胃减负。
中医调理,中医说的“五谷为养”是什么意思？,五谷（稻、黍、稷、麦、菽）是滋养生命的基础。主食是人体能量和阳气的重要来源。
中医调理,经络按摩有用吗？,有用。中医经络理论认为按摩特定穴位可以调理脏腑功能。如背部膀胱经可照顾五脏六腑。
中医调理,捏脊有什么好处？,捏脊能提升阳气、健脾胃。因为背部膀胱经可照顾到五脏六腑。
中医调理,夏天怕热、冬天怕冷是什么体质？,可能是阴阳两虚或气血不足的体质，需要综合调理。
中医调理,艾灸适合年轻人吗？,适合。艾灸具有温通经络的作用。但孕妇和小儿不宜艾灸。
中医调理,中药和西药能一起吃吗？,需要在医生指导下进行，有些中西药可能存在相互作用。
中医调理,中医说的“阳气”是什么？,阳气是人体生命活动的动力，来源于先天和后天（主要是饮食）。阳气不足则免疫力下降。
中医调理,为什么要中午晒太阳？,中医认为中午晒太阳可以补阳气；从西医角度也能提升维生素D水平、增强免疫力。
中医调理,按摩哪些穴位可以缓解头痛？,可以按摩太阳穴、风池穴等。但严重头痛应及时就医。
中医调理,便秘怎么调理？,多吃蔬菜水果、多喝水、适度运动、规律作息。可以顺时针按摩腹部促进肠道蠕动。
中医调理,口臭是什么原因？,可能与脾胃湿热、消化不良、口腔卫生等有关。需要从饮食和口腔卫生两方面调理。
中医调理,掉头发怎么办？,保证充足睡眠、均衡营养（特别是蛋白质和铁）、减少压力。必要时咨询中医或皮肤科。
中医调理,鼻炎可以中医调理吗？,可以。中医认为鼻炎与肺、脾、肾有关，可以通过中药、针灸、艾灸等方法调理。
中医调理,什么是“子午流注”？,中医认为人体气血在不同时辰流经不同经络，因此养生要顺应时辰规律。
中医调理,中医调理多久能看到效果？,因人而异，一般需要坚持1~3个月。中医调理是整体性的，效果渐进。
减肥与体重管理,什么样的体重算正常？,BMI（体重kg/身高m²）在18.5~23.9之间为正常。
减肥与体重管理,科学减重的方法是什么？,均衡饮食、规律运动，而非只吃蔬菜水果、服用泻药或不吃主食。
减肥与体重管理,减重每周减多少合适？,每周减重0.5~1公斤是健康的速度。两个月合理减重范围是体重的5%~10%。
减肥与体重管理,每天制造多少热量缺口合适？,每天通过饮食和运动制造500~750千卡的热量缺口。
减肥与体重管理,为什么节食减肥容易反弹？,极端节食会导致基础代谢下降，一旦恢复正常饮食，体重容易快速反弹。
减肥与体重管理,不吃晚饭能减肥吗？,不推荐。长期不吃晚饭会影响代谢和睡眠，可能导致暴饮暴食。
减肥与体重管理,减肥期间可以吃碳水吗？,可以。应选择全谷物、杂豆等优质碳水，而不是完全不吃。
减肥与体重管理,什么运动最减肥？,有氧运动结合力量训练效果最好。快走、跑步、游泳、跳绳都是不错的选择。
减肥与体重管理,为什么有些人“喝水都胖”？,可能与基础代谢率低、激素水平、饮食习惯等多种因素有关，需要综合评估。
减肥与体重管理,体脂率多少算正常？,男性正常体脂率15%~20%，女性20%~25%。不同年龄段标准略有差异。
减肥与体重管理,局部减肥是真的吗？,不存在局部减肥。减脂是全身性的，但可以通过力量训练塑形特定部位。
减肥与体重管理,减肥平台期怎么突破？,可以调整运动方式、改变饮食结构、增加运动强度，给身体新的刺激。
减肥与体重管理,吃水果代替晚饭能减肥吗？,不科学。水果糖分不低，且缺乏蛋白质，长期会导致营养不良。
减肥与体重管理,早上体重比晚上轻正常吗？,正常。晨起体重比睡前轻1~2斤很正常，主要是水分流失。
减肥与体重管理,如何避免减肥后皮肤松弛？,减重速度不宜过快，配合力量训练增加肌肉量，补充足够蛋白质。
减肥与体重管理,为什么压力大会发胖？,压力大会分泌皮质醇等应激激素，促进腹部脂肪堆积。
减肥与体重管理,睡眠和减肥有关系吗？,有关系。睡眠不足会影响瘦素和饥饿素分泌，增加食欲。
减肥与体重管理,减肥期间可以吃零食吗？,可以选择健康零食如坚果、酸奶、水果，控制好总热量。
减肥与体重管理,如何长期保持体重？,养成健康的生活习惯——规律饮食、适量运动、充足睡眠，而不是短期节食。
减肥与体重管理,“吃动平衡”是什么意思？,摄入的能量和消耗的能量保持平衡，是健康减重的核心原则。
免疫力与亚健康,免疫力下降有什么表现？,小伤口愈合慢、咽炎反复发作、身边人感冒自己必被传染，以及疲劳、易感冒等。
免疫力与亚健康,年轻人也会免疫早衰吗？,会。免疫早衰已不再是中老年人“专属”，越来越多年轻人出现相关迹象。
免疫力与亚健康,怎么提高免疫力？,规律的作息、均衡的膳食、适度的运动、平和的心态——这就是最根本的“免疫基石”。
免疫力与亚健康,什么是“慢性炎症”？,慢性炎症是“非健康衰老”的罪魁祸首，与癌症、心血管病、肥胖症、糖尿病等都有关。
免疫力与亚健康,怎么判断自己有没有慢性炎症？,如果有关节肌肉疼痛、慢性疲倦失眠、抑郁焦虑、肠胃问题、体重明显变化、经常感染等表现，需要注意。
免疫力与亚健康,压力大会影响免疫力吗？,会。工作压力大、情绪焦虑时，身体会分泌大量应激激素，长期如此会损伤免疫系统。
免疫力与亚健康,为什么“脆皮青年”越来越多？,缺乏锻炼、饮食不规律、熬夜、心理压力大等多方面原因导致。
免疫力与亚健康,如何增强抵抗力？,每天保证7~8小时睡眠、每周150分钟运动、均衡饮食、保持好心态。
免疫力与亚健康,晒太阳真的能增强免疫力吗？,能。晒太阳有利于维生素D的生成，是最经济的补充维生素D的方法。
免疫力与亚健康,经常感冒怎么办？,检查生活方式——是否睡眠不足、饮食不均衡、缺乏运动。从根本改善生活习惯。
免疫力与亚健康,疲劳感怎么消除？,保证充足睡眠、适度运动、均衡营养，避免过度劳累。必要时就医检查。
免疫力与亚健康,年轻人亚健康比例高吗？,很高。超八成大学生陷入亚健康。全身慢性不适、记忆力下降、情绪差、免疫力下降是常见问题。
免疫力与亚健康,如何判断自己是否亚健康？,经常疲劳、睡眠质量差、情绪不稳定、注意力不集中、反复感冒等，可能就是亚健康状态。
免疫力与亚健康,预防慢性病从什么时候开始？,从现在开始。慢性病不是“老年专属”，20岁以上就应重视。20岁以上人群每年体检。
免疫力与亚健康,定期体检要做哪些项目？,重点关注血压、空腹血糖、血脂、肝功能等指标。有家族病史者需提前筛查。
心理健康,压力大怎么缓解？,通过运动（如跑步、瑜伽）、听音乐、社交等方式释放情绪。必要时寻求心理支持。
心理健康,为什么晚上容易emo？,白天安排太满、没有独处时间，晚上产生心理补偿。白天被压下去的焦虑晚上全涌出来。
心理健康,怎么缓解考试/工作焦虑？,不要过度比较，专注自己的节奏。运动可以促进多巴胺分泌，缓解焦虑。
心理健康,情绪和身体健康有什么关系？,每一种情绪都对应着脏腑器官，情绪波动会影响身体健康。控制情绪稳定很重要。
心理健康,如何保持好心态？,保持热情开朗的心情，用积极的心态面对生活。学会接纳不完美。
心理健康,社交恐惧怎么办？,从小范围社交开始，逐步扩大。可以寻求心理咨询帮助。
心理健康,工作压力大导致失眠怎么办？,睡前做放松的事——读书、听音乐、冥想。不要把工作带到床上。
心理健康,如何避免“内卷”焦虑？,关注自己的成长而非与他人比较。每个人节奏不同，做好自己最重要。
心理健康,情绪不好时暴饮暴食怎么办？,识别情绪性进食的信号，找其他方式释放情绪如运动、写日记、和朋友聊天。
心理健康,独处时间重要吗？,重要。每天留给自己15分钟独处时间，避免长期焦虑。
心理健康,如何培养积极心态？,每天记录三件感恩的事，练习正念冥想，培养兴趣爱好。
心理健康,抑郁情绪和抑郁症有什么区别？,抑郁情绪是短期的、有原因的；抑郁症是长期的、严重影响日常功能的，需要专业诊断和治疗。
心理健康,如何帮助有心理困扰的朋友？,倾听而不是评判，鼓励寻求专业帮助，陪伴和支持。
心理健康,正念冥想有用吗？,有用。正念可以帮助减轻压力、改善睡眠、提升情绪。
心理健康,心理健康和身体健康哪个更重要？,两者同等重要，互相影响。心理健康是身体健康的基础。
职场健康与日常习惯,长期低头看手机有什么危害？,会引发颈源性疼痛，颈椎长期处于高负荷状态。脊椎侧弯的手术创伤大、恢复难。
职场健康与日常习惯,久坐有什么危害？,久坐让热量消耗减少，脂肪堆积，心脏和血管负担加重。腰椎间盘血流变差，易引发腰痛。
职场健康与日常习惯,办公族如何保护颈椎？,调整椅子高度，保持正确坐姿，买个合适的腰垫。每小时起身活动。
职场健康与日常习惯,什么是“电脑颈”？,长期低头看电脑导致的颈椎前伸、含胸驼背等问题。注意屏幕高度与视线平齐。
职场健康与日常习惯,如何缓解眼睛疲劳？,遵循“20-20-20”法则——每20分钟看6米外20秒。多眨眼、做眼保健操。
职场健康与日常习惯,上班族怎么午休？,尽量平躺午休，不要趴在桌上睡。午休不超过半小时。
职场健康与日常习惯,如何避免“鼠标手”？,使用鼠标时手腕保持自然，定时活动手腕，可以使用腕托。
职场健康与日常习惯,通勤时间如何利用来健康？,提前一站下车步行，骑自行车通勤。站着坐地铁代替坐着。
职场健康与日常习惯,工作中如何保持精力？,保证早餐营养，上午和下午各一次短暂休息，适当走动。
职场健康与日常习惯,经常出差如何保持健康？,尽量保持作息规律，选择清淡饮食，利用酒店健身房运动，保证睡眠。
职场健康与日常习惯,加班后如何恢复？,补充水分和营养，适度拉伸放松，保证次日午休，不要连续熬夜。
职场健康与日常习惯,如何在家办公保持健康？,设置专门的工作区域，保持正确坐姿，定时休息和活动，避免“葛优躺”。
职场健康与日常习惯,哪些日常习惯最伤身？,熬夜刷剧、久坐不动、暴饮暴食、长期低头看手机。
职场健康与日常习惯,如何养成健康的生活习惯？,从小事做起，一次改变一个习惯。坚持21天以上形成新习惯。
职场健康与日常习惯,健康生活的核心是什么？,“起居有常，不妄作劳”——规律作息、合理膳食、适度运动、平和心态。
